Frontend third-party dependency inventory
Generated from frontend/package-lock.json and installed package metadata on 2026-05-16.

Package | License | Repository
--- | --- | ---
@babel/helper-string-parser@7.27.1 | MIT | https://github.com/babel/babel
@babel/helper-validator-identifier@7.28.5 | MIT | https://github.com/babel/babel
@babel/parser@7.29.2 | MIT | https://github.com/babel/babel
@babel/types@7.29.0 | MIT | https://github.com/babel/babel
@esbuild/linux-x64@0.21.5 | MIT | https://github.com/evanw/esbuild
@jridgewell/sourcemap-codec@1.5.5 | MIT | https://github.com/jridgewell/sourcemaps
@rollup/rollup-linux-x64-gnu@4.60.1 | MIT | https://github.com/rollup/rollup
@rollup/rollup-linux-x64-musl@4.60.1 | MIT | https://github.com/rollup/rollup
@types/estree@1.0.8 | MIT | https://github.com/DefinitelyTyped/DefinitelyTyped
@vitejs/plugin-vue@5.2.4 | MIT | https://github.com/vitejs/vite-plugin-vue
@vue/compiler-core@3.5.32 | MIT | https://github.com/vuejs/core
@vue/compiler-dom@3.5.32 | MIT | https://github.com/vuejs/core
@vue/compiler-sfc@3.5.32 | MIT | https://github.com/vuejs/core
@vue/compiler-ssr@3.5.32 | MIT | https://github.com/vuejs/core
@vue/reactivity@3.5.32 | MIT | https://github.com/vuejs/core
@vue/runtime-core@3.5.32 | MIT | https://github.com/vuejs/core
@vue/runtime-dom@3.5.32 | MIT | https://github.com/vuejs/core
@vue/server-renderer@3.5.32 | MIT | https://github.com/vuejs/core
@vue/shared@3.5.32 | MIT | https://github.com/vuejs/core
asynckit@0.4.0 | MIT | https://github.com/alexindigo/asynckit
axios@1.15.0 | MIT | https://github.com/axios/axios
call-bind-apply-helpers@1.0.2 | MIT | https://github.com/ljharb/call-bind-apply-helpers
combined-stream@1.0.8 | MIT | https://github.com/felixge/node-combined-stream
csstype@3.2.3 | MIT | https://github.com/frenic/csstype
delayed-stream@1.0.0 | MIT | https://github.com/felixge/node-delayed-stream
dunder-proto@1.0.1 | MIT | https://github.com/es-shims/dunder-proto
entities@7.0.1 | BSD-2-Clause | https://github.com/fb55/entities
es-define-property@1.0.1 | MIT | https://github.com/ljharb/es-define-property
es-errors@1.3.0 | MIT | https://github.com/ljharb/es-errors
es-object-atoms@1.1.1 | MIT | https://github.com/ljharb/es-object-atoms
es-set-tostringtag@2.1.0 | MIT | https://github.com/es-shims/es-set-tostringtag
esbuild@0.21.5 | MIT | https://github.com/evanw/esbuild
estree-walker@2.0.2 | MIT | https://github.com/Rich-Harris/estree-walker
follow-redirects@1.16.0 | MIT | https://github.com/follow-redirects/follow-redirects
form-data@4.0.5 | MIT | https://github.com/form-data/form-data
function-bind@1.1.2 | MIT | https://github.com/Raynos/function-bind
get-intrinsic@1.3.0 | MIT | https://github.com/ljharb/get-intrinsic
get-proto@1.0.1 | MIT | https://github.com/ljharb/get-proto
gopd@1.2.0 | MIT | https://github.com/ljharb/gopd
has-symbols@1.1.0 | MIT | https://github.com/inspect-js/has-symbols
has-tostringtag@1.0.2 | MIT | https://github.com/inspect-js/has-tostringtag
hasown@2.0.2 | MIT | https://github.com/inspect-js/hasOwn
magic-string@0.30.21 | MIT | https://github.com/Rich-Harris/magic-string
math-intrinsics@1.1.0 | MIT | https://github.com/es-shims/math-intrinsics
mime-db@1.52.0 | MIT | https://github.com/jshttp/mime-db
mime-types@2.1.35 | MIT | https://github.com/jshttp/mime-types
nanoid@3.3.11 | MIT | https://github.com/ai/nanoid
picocolors@1.1.1 | ISC | https://github.com/alexeyraspopov/picocolors
postcss@8.5.10 | MIT | https://github.com/postcss/postcss
proxy-from-env@2.1.0 | MIT | https://github.com/Rob--W/proxy-from-env
rollup@4.60.1 | MIT | https://github.com/rollup/rollup
source-map-js@1.2.1 | BSD-3-Clause | https://github.com/7rulnik/source-map-js
vite@5.4.21 | MIT | https://github.com/vitejs/vite
vue@3.5.32 | MIT | https://github.com/vuejs/core
